character,sentence,line,document,shengmu,yunmu,shengdiao,bihua,cixing,sentiment,sentiment_score
之,心之忧矣,"绿兮衣兮，绿衣黄裳。心之忧矣，曷维其亡！
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7915980274134945
之,旄丘之葛,"旄丘之葛兮，何诞之节兮。叔兮伯兮，何多日也？
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9430158584451998
之,何诞之节,"旄丘之葛兮，何诞之节兮。叔兮伯兮，何多日也？
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9430158584451998
之,流离之子,"琐兮尾兮，流离之子。叔兮伯兮，褎如充耳。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9641850425028207
之,日之方中,"简兮简兮，方将万舞。日之方中，在前上处。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9896987498133535
之,云谁之思,"山有榛，隰有苓。云谁之思？西方美人。彼美人兮，西方之人兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.784469201540701
之,西方之人,"山有榛，隰有苓。云谁之思？西方美人。彼美人兮，西方之人兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.784469201540701
之,匪女之为美,"自牧归荑，洵美且异。匪女之为美，美人之贻。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8441561754735575
之,美人之贻,"自牧归荑，洵美且异。匪女之为美，美人之贻。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8441561754735575
之,报之以琼玖,"投我以木李，报之以琼玖。匪报也，永以为好也！
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8580029192943354
之,子之丰,"子之丰兮，俟我乎巷兮，悔予不送兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.764572335526865
之,"东方之日
","东方之日
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7864121428328473
之,东方之日,"东方之日兮，彼姝者子，在我室兮。在我室兮，履我即兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.996381789796265
之,东方之月,"东方之月兮，彼姝者子，在我闼兮。在我闼兮，履我发兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9966590942718259
之,十亩之间,"十亩之间兮，桑者闲闲兮，行与子还兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8727608269262337
之,十亩之间,"十亩之间兮，桑者闲闲兮，行与子还兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8727608269262337
之,十亩之外,"十亩之外兮，桑者泄泄兮，行与子逝兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9390989624328091
之,十亩之外,"十亩之外兮，桑者泄泄兮，行与子逝兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9390989624328091
之,子之汤,"子之汤兮，宛丘之上兮。洵有情兮，而无望兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7623312263604479
之,子之汤,"子之汤兮，宛丘之上兮。洵有情兮，而无望兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7623312263604479
之,宛丘之上,"子之汤兮，宛丘之上兮。洵有情兮，而无望兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7623312263604479
之,宛丘之上,"子之汤兮，宛丘之上兮。洵有情兮，而无望兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7623312263604479
之,我觏之子,"裳裳者华，其叶湑□兮。我觏之子，我心写兮。我心写兮，是以有誉处兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.865568457605854
之,我觏之子,"裳裳者华，其叶湑□兮。我觏之子，我心写兮。我心写兮，是以有誉处兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.865568457605854
之,我觏之子,"裳裳者华，其叶湑□兮。我觏之子，我心写兮。我心写兮，是以有誉处兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.865568457605854
之,如川之方至,"天保定尔，以莫不兴。如山如阜，如冈如陵，如川之方至，以莫不增。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9989342005801786
之,如川之方至,"天保定尔，以莫不兴。如山如阜，如冈如陵，如川之方至，以莫不增。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9989342005801786
之,如月之恒,"如月之恒，如日之升。如南山之寿，不骞不崩。如松柏之茂，无不尔或承。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7701883952624299
之,如月之恒,"如月之恒，如日之升。如南山之寿，不骞不崩。如松柏之茂，无不尔或承。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7701883952624299
之,如日之升,"如月之恒，如日之升。如南山之寿，不骞不崩。如松柏之茂，无不尔或承。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7701883952624299
之,如日之升,"如月之恒，如日之升。如南山之寿，不骞不崩。如松柏之茂，无不尔或承。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7701883952624299
之,如南山之寿,"如月之恒，如日之升。如南山之寿，不骞不崩。如松柏之茂，无不尔或承。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7701883952624299
之,如南山之寿,"如月之恒，如日之升。如南山之寿，不骞不崩。如松柏之茂，无不尔或承。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7701883952624299
之,如松柏之茂,"如月之恒，如日之升。如南山之寿，不骞不崩。如松柏之茂，无不尔或承。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7701883952624299
之,如松柏之茂,"如月之恒，如日之升。如南山之寿，不骞不崩。如松柏之茂，无不尔或承。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7701883952624299
之,絷之维之,"皎皎白驹，食我场苗。絷之维之，以永今朝。所谓伊人，于焉逍遥？
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.826038573366216
之,絷之维之,"皎皎白驹，食我场苗。絷之维之，以永今朝。所谓伊人，于焉逍遥？
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.826038573366216
之,絷之维之,"皎皎白驹，食我场苗。絷之维之，以永今朝。所谓伊人，于焉逍遥？
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.826038573366216
之,絷之维之,"皎皎白驹，食我场苗。絷之维之，以永今朝。所谓伊人，于焉逍遥？
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.826038573366216
之,絷之维之,"皎皎白驹，食我场苗。絷之维之，以永今朝。所谓伊人，于焉逍遥？
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.826038573366216
之,絷之维之,"皎皎白驹，食我场苗。絷之维之，以永今朝。所谓伊人，于焉逍遥？
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.826038573366216
之,大人占之,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8691772515511411
之,大人占之,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8691772515511411
之,大人占之,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8691772515511411
之,男子之祥,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8691772515511411
之,男子之祥,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8691772515511411
之,男子之祥,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8691772515511411
之,女子之祥,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8691772515511411
之,女子之祥,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8691772515511411
之,女子之祥,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8691772515511411
之,农夫之庆,"曾孙之稼，如茨如梁。曾孙之庾，如坻如京。乃求千斯仓，乃求万斯箱。黍稷稻粱，农夫之庆。报以介福，万寿无疆。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9868210767363306
之,农夫之庆,"曾孙之稼，如茨如梁。曾孙之庾，如坻如京。乃求千斯仓，乃求万斯箱。黍稷稻粱，农夫之庆。报以介福，万寿无疆。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9868210767363306
之,农夫之庆,"曾孙之稼，如茨如梁。曾孙之庾，如坻如京。乃求千斯仓，乃求万斯箱。黍稷稻粱，农夫之庆。报以介福，万寿无疆。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9868210767363306
之,曾孙之稼,"曾孙之稼，如茨如梁。曾孙之庾，如坻如京。乃求千斯仓，乃求万斯箱。黍稷稻粱，农夫之庆。报以介福，万寿无疆。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9868210767363306
之,曾孙之稼,"曾孙之稼，如茨如梁。曾孙之庾，如坻如京。乃求千斯仓，乃求万斯箱。黍稷稻粱，农夫之庆。报以介福，万寿无疆。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9868210767363306
之,曾孙之稼,"曾孙之稼，如茨如梁。曾孙之庾，如坻如京。乃求千斯仓，乃求万斯箱。黍稷稻粱，农夫之庆。报以介福，万寿无疆。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9868210767363306
之,曾孙之庾,"曾孙之稼，如茨如梁。曾孙之庾，如坻如京。乃求千斯仓，乃求万斯箱。黍稷稻粱，农夫之庆。报以介福，万寿无疆。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9868210767363306
之,曾孙之庾,"曾孙之稼，如茨如梁。曾孙之庾，如坻如京。乃求千斯仓，乃求万斯箱。黍稷稻粱，农夫之庆。报以介福，万寿无疆。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9868210767363306
之,曾孙之庾,"曾孙之稼，如茨如梁。曾孙之庾，如坻如京。乃求千斯仓，乃求万斯箱。黍稷稻粱，农夫之庆。报以介福，万寿无疆。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9868210767363306
之,"鱼藻之什
","小雅·鱼藻之什
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7717294728810444
之,"鱼藻之什
","小雅·鱼藻之什
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7717294728810444
之,"鱼藻之什
","小雅·鱼藻之什
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.7717294728810444
之,保右命之,"假乐君子，显显令德。宜民宜人，受祿于天。保右命之，自天申之。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8966309344519302
之,保右命之,"假乐君子，显显令德。宜民宜人，受祿于天。保右命之，自天申之。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8966309344519302
之,保右命之,"假乐君子，显显令德。宜民宜人，受祿于天。保右命之，自天申之。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8966309344519302
之,保右命之,"假乐君子，显显令德。宜民宜人，受祿于天。保右命之，自天申之。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8966309344519302
之,自天申之,"假乐君子，显显令德。宜民宜人，受祿于天。保右命之，自天申之。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8966309344519302
之,自天申之,"假乐君子，显显令德。宜民宜人，受祿于天。保右命之，自天申之。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8966309344519302
之,自天申之,"假乐君子，显显令德。宜民宜人，受祿于天。保右命之，自天申之。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8966309344519302
之,自天申之,"假乐君子，显显令德。宜民宜人，受祿于天。保右命之，自天申之。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8966309344519302
之,天之牖民,"天之牖民，如塤如篪，如璋如圭，如取如攜。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9998845429260139
之,天之牖民,"天之牖民，如塤如篪，如璋如圭，如取如攜。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9998845429260139
之,天之牖民,"天之牖民，如塤如篪，如璋如圭，如取如攜。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9998845429260139
之,天之牖民,"天之牖民，如塤如篪，如璋如圭，如取如攜。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.9998845429260139
之,如川之流,"如川之流。绵绵翼翼，不測不克，濯征徐国。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8893380818414915
之,如川之流,"如川之流。绵绵翼翼，不測不克，濯征徐国。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8893380818414915
之,如川之流,"如川之流。绵绵翼翼，不測不克，濯征徐国。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8893380818414915
之,如川之流,"如川之流。绵绵翼翼，不測不克，濯征徐国。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8893380818414915
之,天子之功,"王猶允塞，徐方既來。徐方既同，天子之功。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8513110439251104
之,天子之功,"王猶允塞，徐方既來。徐方既同，天子之功。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8513110439251104
之,天子之功,"王猶允塞，徐方既來。徐方既同，天子之功。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8513110439251104
之,天子之功,"王猶允塞，徐方既來。徐方既同，天子之功。
",/Users/danebrown/develop/nlp/诗经.txt,zh,i,1,3,u,positive,0.8513110439251104
哉,皇王烝哉,"鎬京辟癰，自西自東，自南自北，无思不服。皇王烝哉！
",/Users/danebrown/develop/nlp/诗经.txt,z,ai,1,9,y,positive,0.9106479855001106
哉,皇王烝哉,"鎬京辟癰，自西自東，自南自北，无思不服。皇王烝哉！
",/Users/danebrown/develop/nlp/诗经.txt,z,ai,1,9,y,positive,0.9106479855001106
哉,皇王烝哉,"鎬京辟癰，自西自東，自南自北，无思不服。皇王烝哉！
",/Users/danebrown/develop/nlp/诗经.txt,z,ai,1,9,y,positive,0.9106479855001106
哉,皇王烝哉,"鎬京辟癰，自西自東，自南自北，无思不服。皇王烝哉！
",/Users/danebrown/develop/nlp/诗经.txt,z,ai,1,9,y,positive,0.9106479855001106
中,中心有违,"行道迟迟，中心有违。不远伊迩，薄送我畿。谁谓荼苦，其甘如荠。宴尔新婚，如兄如弟。
",/Users/danebrown/develop/nlp/诗经.txt,zh,ong,1,4,f,positive,0.9941148951706409
中,日之方中,"简兮简兮，方将万舞。日之方中，在前上处。
",/Users/danebrown/develop/nlp/诗经.txt,zh,ong,1,4,f,positive,0.9896987498133535
中,中心养养,"二子乘舟，泛泛其景。愿言思子，中心养养！
",/Users/danebrown/develop/nlp/诗经.txt,zh,ong,1,4,f,positive,0.8055133548563184
中,中心怛,"匪风发兮，匪车偈兮。顾瞻周道，中心怛兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,ong,1,4,f,positive,0.9749584751676001
中,中心怛,"匪风发兮，匪车偈兮。顾瞻周道，中心怛兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,ong,1,4,f,positive,0.9749584751676001
中,中心吊,"匪风飘兮，匪车嘌兮。顾瞻周道，中心吊兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,ong,1,4,f,positive,0.9983312501882051
中,中心吊,"匪风飘兮，匪车嘌兮。顾瞻周道，中心吊兮。
",/Users/danebrown/develop/nlp/诗经.txt,zh,ong,1,4,f,positive,0.9983312501882051
中,中,"瑟彼玉瓚，黃流在中。豈弟君子，福祿攸降。
",/Users/danebrown/develop/nlp/诗经.txt,zh,ong,1,4,f,positive,0.7672924285529952
中,中,"瑟彼玉瓚，黃流在中。豈弟君子，福祿攸降。
",/Users/danebrown/develop/nlp/诗经.txt,zh,ong,1,4,f,positive,0.7672924285529952
中,中,"瑟彼玉瓚，黃流在中。豈弟君子，福祿攸降。
",/Users/danebrown/develop/nlp/诗经.txt,zh,ong,1,4,f,positive,0.7672924285529952
中,中,"瑟彼玉瓚，黃流在中。豈弟君子，福祿攸降。
",/Users/danebrown/develop/nlp/诗经.txt,zh,ong,1,4,f,positive,0.7672924285529952
黄,绿衣黄裳,"绿兮衣兮，绿衣黄裳。心之忧矣，曷维其亡！
",/Users/danebrown/develop/nlp/诗经.txt,h,uang,2,11,a,positive,0.7915980274134945
虺,维虺维蛇,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,h,uei,1,9,x,positive,0.8691772515511411
虺,维虺维蛇,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,h,uei,1,9,x,positive,0.8691772515511411
虺,维虺维蛇,"大人占之：维熊维罴，男子之祥；维虺维蛇，女子之祥。
",/Users/danebrown/develop/nlp/诗经.txt,h,uei,1,9,x,positive,0.8691772515511411
齐,齐子归止,"敝笱在梁，其鱼唯唯。齐子归止，其从如水。
",/Users/danebrown/develop/nlp/诗经.txt,q,i,2,6,a,positive,0.8116190365479995
齐,齐子归止,"敝笱在梁，其鱼唯唯。齐子归止，其从如水。
",/Users/danebrown/develop/nlp/诗经.txt,q,i,2,6,a,positive,0.8116190365479995
而,突而弁,"婉兮娈兮。总角丱兮。未几见兮，突而弁兮！
",/Users/danebrown/develop/nlp/诗经.txt,,er,2,6,c,positive,0.9618521354396153
而,突而弁,"婉兮娈兮。总角丱兮。未几见兮，突而弁兮！
",/Users/danebrown/develop/nlp/诗经.txt,,er,2,6,c,positive,0.9618521354396153
而,颀而长,"猗嗟昌兮，颀而长兮。抑若扬兮，美目扬兮。巧趋跄兮，射则臧兮。
",/Users/danebrown/develop/nlp/诗经.txt,,er,2,6,c,positive,0.9952322416033811
而,颀而长,"猗嗟昌兮，颀而长兮。抑若扬兮，美目扬兮。巧趋跄兮，射则臧兮。
",/Users/danebrown/develop/nlp/诗经.txt,,er,2,6,c,positive,0.9952322416033811
